Minnesota: population by race and Hispanic origin for counties,,,,,,,,,,,,,
2010 Census Redistricting Data (Public Law 94-171) Summary File,,,,,,,,,,,,,
,,"NOTE: For information on confidentiality protection, nonsampling error, and definitions, see http://www.census.gov/prod/cen2010/pl94-171.pdf",,,,,,,,,,,
,Geographic area,,,Race,,,,,,,,,
County FIPS Code,County,,Total population,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic or Latino (of any race),
,,,,,,,,,,,,,
,Minnesota,,"5,303,925","5,178,780","4,524,062","274,412","60,916","214,234","2,156","103,000","125,145","250,258",
,,,,,,,,,,,,,
001,Aitkin County,,"16,202","15,993","15,494",57,390,27,4,21,209,151,
003,Anoka County,,"330,844","322,323","287,802","14,503","2,257","12,868",104,"4,789","8,521","12,020",
005,Becker County,,"32,504","31,532","28,720",138,"2,455",125,7,87,972,398,
007,Beltrami County,,"44,442","43,065","33,359",262,"9,004",309,18,113,"1,377",676,
009,Benton County,,"38,451","37,836","36,348",749,159,425,4,151,615,632,
011,Big Stone County,,"5,269","5,227","5,175",11,22,4,0,15,42,41,
013,Blue Earth County,,"64,013","62,988","59,400","1,741",178,"1,249",22,398,"1,025","1,586",
015,Brown County,,"25,893","25,710","25,245",61,21,153,2,228,183,860,
017,Carlton County,,"35,386","34,531","31,727",498,"2,086",160,4,56,855,484,
019,Carver County,,"91,042","89,606","84,450","1,124",208,"2,478",15,"1,331","1,436","3,515",
021,Cass County,,"28,567","27,940","24,534",61,"3,196",88,3,58,627,340,
023,Chippewa County,,"12,441","12,287","11,632",65,119,57,97,317,154,611,
025,Chisago County,,"53,887","53,217","51,621",645,324,478,10,139,670,835,
027,Clay County,,"58,999","57,724","54,684",842,803,846,21,528,"1,275","2,056",
029,Clearwater County,,"8,695","8,430","7,579",30,782,21,1,17,265,120,
031,Cook County,,"5,176","5,065","4,559",17,446,27,3,13,111,58,
033,Cottonwood County,,"11,687","11,539","10,773",87,27,317,17,318,148,720,
035,Crow Wing County,,"62,500","61,592","60,368",313,526,232,16,137,908,652,
037,Dakota County,,"398,552","387,078","339,499","18,709","1,647","17,451",216,"9,556","11,474","23,966",
039,Dodge County,,"20,087","19,814","19,294",60,54,90,4,312,273,915,
041,Douglas County,,"36,009","35,682","35,186",150,105,164,4,73,327,341,
043,Faribault County,,"14,553","14,419","14,042",47,62,43,0,225,134,817,
045,Fillmore County,,"20,866","20,693","20,497",49,22,71,0,54,173,207,
047,Freeborn County,,"31,255","30,737","29,121",231,68,238,18,"1,061",518,"2,750",
049,Goodhue County,,"46,183","45,464","43,684",445,533,274,17,511,719,"1,342",
051,Grant County,,"6,018","5,949","5,864",19,9,14,1,42,69,94,
053,Hennepin County,,"1,152,425","1,114,976","856,834","136,262","10,591","71,905",506,"38,878","37,449","77,676",
055,Houston County,,"19,027","18,807","18,570",101,33,89,2,12,220,132,
057,Hubbard County,,"20,428","20,063","19,314",48,557,50,2,92,365,327,
059,Isanti County,,"37,816","37,200","36,319",245,174,309,19,134,616,582,
061,Itasca County,,"45,058","44,135","42,195",144,"1,568",142,12,74,923,417,
063,Jackson County,,"10,266","10,162","9,830",47,24,140,1,120,104,277,
065,Kanabec County,,"16,239","15,989","15,754",55,90,53,3,34,250,214,
067,Kandiyohi County,,"42,239","41,732","39,206",984,130,172,19,"1,221",507,"4,710",
